sample_id,phrase_index,endpoint,current_s,automatic_s,duration_s,char_start,char_end,text,alignment_source,annotator,review_fingerprint,reference_s,reviewer,review_status,reference_source,reference_id,decision_note,flags,validation_state,validation_error
-3g5yACwYnA$_$13,0,start_s,0.0,0.0,5.513997,0,18,They've been able ,mfa-3.4.1/english_mfa-3.1.0,,26648fc973dca2ea9f123139d853730ab522fd6957ce437681b43542bf6ea5d0,,,pending,,,,,pending,
-3g5yACwYnA$_$13,0,end_s,0.6399999856948853,0.6399999856948853,5.513997,0,18,They've been able ,mfa-3.4.1/english_mfa-3.1.0,,26648fc973dca2ea9f123139d853730ab522fd6957ce437681b43542bf6ea5d0,,,pending,,,,,pending,
-3g5yACwYnA$_$13,1,start_s,1.1200000047683716,1.1200000047683716,5.513997,18,59,to find solutions or at least bring some ,mfa-3.4.1/english_mfa-3.1.0,,26648fc973dca2ea9f123139d853730ab522fd6957ce437681b43542bf6ea5d0,,,pending,,,,,pending,
-3g5yACwYnA$_$13,1,end_s,4.010000228881836,4.010000228881836,5.513997,18,59,to find solutions or at least bring some ,mfa-3.4.1/english_mfa-3.1.0,,26648fc973dca2ea9f123139d853730ab522fd6957ce437681b43542bf6ea5d0,,,pending,,,,,pending,
-3g5yACwYnA$_$13,2,start_s,4.010000228881836,4.010000228881836,5.513997,59,80,answers to the table.,mfa-3.4.1/english_mfa-3.1.0,,26648fc973dca2ea9f123139d853730ab522fd6957ce437681b43542bf6ea5d0,,,pending,,,,,pending,
-3g5yACwYnA$_$13,2,end_s,4.869999885559082,4.869999885559082,5.513997,59,80,answers to the table.,mfa-3.4.1/english_mfa-3.1.0,,26648fc973dca2ea9f123139d853730ab522fd6957ce437681b43542bf6ea5d0,,,pending,,,,,pending,
-3g5yACwYnA$_$2,0,start_s,0.15000000596046448,0.15000000596046448,9.39401,0,4,Key ,mfa-3.4.1/english_mfa-3.1.0,,7ae6b5ebc8cd969ed120e0e40d06e836106948ff6ac83d9def89cf9a83f72b3a,,,pending,,,,,pending,
-3g5yACwYnA$_$2,0,end_s,0.30000001192092896,0.30000001192092896,9.39401,0,4,Key ,mfa-3.4.1/english_mfa-3.1.0,,7ae6b5ebc8cd969ed120e0e40d06e836106948ff6ac83d9def89cf9a83f72b3a,,,pending,,,,,pending,
-3g5yACwYnA$_$2,1,start_s,1.2000000476837158,1.2000000476837158,9.39401,4,41,Polymer brings a technical aspect to ,mfa-3.4.1/english_mfa-3.1.0,,7ae6b5ebc8cd969ed120e0e40d06e836106948ff6ac83d9def89cf9a83f72b3a,,,pending,,,,,pending,
-3g5yACwYnA$_$2,1,end_s,4.409999847412109,4.409999847412109,9.39401,4,41,Polymer brings a technical aspect to ,mfa-3.4.1/english_mfa-3.1.0,,7ae6b5ebc8cd969ed120e0e40d06e836106948ff6ac83d9def89cf9a83f72b3a,,,pending,,,,,pending,
-3g5yACwYnA$_$2,2,start_s,4.75,4.75,9.39401,41,85,our operation that we don't have internally.,mfa-3.4.1/english_mfa-3.1.0,,7ae6b5ebc8cd969ed120e0e40d06e836106948ff6ac83d9def89cf9a83f72b3a,,,pending,,,,,pending,
-3g5yACwYnA$_$2,2,end_s,7.679999828338623,7.679999828338623,9.39401,41,85,our operation that we don't have internally.,mfa-3.4.1/english_mfa-3.1.0,,7ae6b5ebc8cd969ed120e0e40d06e836106948ff6ac83d9def89cf9a83f72b3a,,,pending,,,,,pending,
-3g5yACwYnA$_$3,0,start_s,0.5099999904632568,0.5099999904632568,14.388997,0,18,We're a huge user ,mfa-3.4.1/english_mfa-3.1.0,,3d652e85cf8c5aee27cd13b00f4fbbde1180bc922aa4a5538251ec45595077ac,,,pending,,,,,pending,
